Date,Open,High,Low,Close,Adj Close,Volume
2019-11-18,66.809998,67.940002,66.709999,67.129997,61.417027,4568200
2019-11-19,67.129997,67.309998,66.519997,67.160004,61.444481,3710400
2019-11-20,67.230003,67.589996,66.820000,67.209999,61.490215,3008600
2019-11-21,67.519997,67.699997,66.709999,66.750000,61.069355,3432900
2019-11-22,66.610001,66.879997,66.220001,66.709999,61.032772,2616300
2019-11-25,66.830002,66.980003,66.339996,66.980003,61.279793,3020200
2019-11-26,67.199997,67.800003,67.019997,67.790001,62.020859,3513800
2019-11-27,67.790001,67.889999,67.220001,67.680000,61.920219,2517600
2019-11-29,67.809998,67.980003,67.489998,67.820000,62.048317,1385100
2019-12-02,68.000000,68.000000,67.129997,67.570000,61.819576,3487800
2019-12-03,67.629997,67.629997,66.800003,67.300003,61.572556,3677000
2019-12-04,67.120003,68.160004,67.120003,68.080002,62.286179,3279000
2019-12-05,67.860001,67.919998,67.360001,67.820000,62.048317,4056500
2019-12-06,67.879997,68.330002,67.389999,68.239998,62.432568,3504700
2019-12-09,68.250000,68.669998,68.010002,68.599998,62.761929,3610200
2019-12-10,68.309998,68.669998,67.849998,67.930000,62.148933,3820600
2019-12-11,67.919998,68.680000,67.300003,67.459999,61.718933,3229300
2019-12-12,67.550003,67.830002,66.940002,67.230003,61.508522,3658400
2019-12-13,67.230003,68.870003,67.070000,68.690002,62.844265,5179600
2019-12-16,68.839996,69.230003,68.519997,68.870003,63.008942,3371200
2019-12-17,68.650002,68.650002,67.809998,67.839996,62.066589,4647600
2019-12-18,68.129997,68.430000,67.690002,68.269997,62.460007,5846100
2019-12-19,67.269997,68.480003,67.269997,68.339996,62.524055,4266400
2019-12-20,69.099998,69.300003,68.760002,68.849998,62.990654,6008000
2019-12-23,69.010002,69.059998,68.599998,68.720001,62.871708,2776000
2019-12-24,68.650002,68.730003,68.260002,68.550003,62.716190,816700
2019-12-26,68.800003,68.980003,68.430000,68.580002,62.743633,2493600
2019-12-27,68.839996,69.339996,68.830002,69.180000,63.292564,2943700
2019-12-30,68.870003,69.099998,68.550003,68.790001,62.935745,1810700
2019-12-31,68.769997,68.919998,68.379997,68.839996,62.981491,1960200
2020-01-02,68.839996,68.940002,67.889999,68.120003,62.322781,3441800
2020-01-03,67.839996,68.470001,67.680000,68.019997,62.231289,3473800
2020-01-06,68.080002,68.849998,68.010002,68.489998,62.661274,4607500
2020-01-07,68.459999,68.459999,67.470001,67.550003,61.801296,4500000
2020-01-08,67.800003,69.650002,67.730003,69.269997,63.374893,4676100
2020-01-09,69.379997,69.940002,69.059998,69.860001,63.914700,3996100
2020-01-10,69.730003,70.430000,69.459999,70.150002,64.180016,3724000
2020-01-13,70.160004,70.559998,69.800003,70.139999,64.170853,4641300
2020-01-14,70.139999,70.400002,70.029999,70.290001,64.308098,4711900
2020-01-15,70.339996,71.050003,70.339996,70.800003,64.774704,3606200
2020-01-16,70.959999,71.180000,70.669998,70.750000,64.728966,2720300
2020-01-17,70.430000,71.300003,70.430000,71.180000,65.122353,4019700
2020-01-21,71.070000,71.379997,70.250000,71.290001,65.223000,6470400
2020-01-22,70.879997,71.080002,70.510002,70.529999,64.919250,2890800
2020-01-23,70.070000,71.070000,70.000000,70.610001,64.992882,2581600
2020-01-24,70.830002,71.080002,70.080002,70.300003,64.707550,2938300
2020-01-27,70.150002,70.790001,69.769997,70.099998,64.523460,3688100
2020-01-28,70.120003,70.489998,69.559998,69.709999,64.164482,2770600
2020-01-29,69.750000,69.889999,68.809998,68.830002,63.354477,3233400
2020-01-30,68.800003,69.699997,68.559998,69.470001,63.943577,3539300
2020-01-31,73.639999,74.970001,73.370003,73.779999,67.910713,13592300
2020-02-03,74.059998,75.459999,74.059998,74.930000,68.969223,7725400
2020-02-04,75.279999,76.199997,75.190002,75.400002,69.401848,4671800
2020-02-05,75.250000,75.870003,74.510002,75.730003,69.705589,4282900
2020-02-06,75.970001,76.599998,75.830002,76.309998,70.239441,4663900
2020-02-07,76.400002,76.519997,75.900002,76.029999,69.981720,3222700
2020-02-10,75.959999,77.410004,75.959999,77.349998,71.196709,4418400
2020-02-11,77.239998,77.290001,76.099998,76.110001,70.055336,3992600
2020-02-12,76.209999,76.320000,75.500000,75.949997,69.908081,3735400
2020-02-13,75.720001,76.610001,75.629997,76.370003,70.294662,2907800
2020-02-14,76.360001,76.699997,76.110001,76.690002,70.589203,2820400
2020-02-18,76.610001,76.690002,76.050003,76.070000,70.018532,4370500
2020-02-19,76.000000,76.269997,75.500000,75.540001,69.530701,2686700
2020-02-20,75.459999,75.650002,74.250000,75.160004,69.180931,3350900
2020-02-21,75.190002,76.540001,75.110001,76.269997,70.202629,5341500
2020-02-24,71.709999,75.720001,71.190002,74.419998,68.499794,5584400
2020-02-25,74.400002,74.989998,73.519997,73.800003,67.929115,5739500
2020-02-26,74.000000,74.470001,72.900002,72.919998,67.119110,4188700
2020-02-27,73.059998,73.720001,70.129997,70.150002,64.569481,6181100
2020-02-28,68.989998,69.360001,66.320000,67.570000,62.194710,11130900
2020-03-02,68.510002,72.559998,68.510002,72.440002,66.677299,7940800
2020-03-03,72.550003,74.110001,71.239998,71.779999,66.069809,7487800
2020-03-04,73.900002,75.470001,73.010002,75.370003,69.374214,7174700
2020-03-05,73.709999,74.330002,71.800003,72.339996,66.585258,5877500
2020-03-06,70.370003,72.760002,69.510002,72.510002,66.741745,6339600
2020-03-09,69.300003,71.610001,69.000000,69.989998,64.422211,7399300
2020-03-10,71.620003,72.010002,68.089996,71.809998,66.097420,7521500
2020-03-11,70.139999,70.809998,67.779999,68.900002,63.418919,6860400
2020-03-12,64.930000,67.449997,63.200001,63.889999,58.807461,9772200
2020-03-13,66.430000,69.209999,64.199997,69.099998,63.603012,11952900
2020-03-16,62.160000,66.309998,62.040001,62.340000,57.380772,8849300
2020-03-17,64.190002,70.430000,63.310001,70.199997,64.615486,9389100
2020-03-18,67.800003,72.139999,65.349998,67.690002,62.305187,9189300
2020-03-19,67.980003,68.989998,65.059998,66.650002,61.347923,8926800
2020-03-20,66.739998,66.849998,61.389999,62.080002,57.141457,9168300
2020-03-23,62.090000,63.470001,58.490002,60.470001,55.659542,8306800
2020-03-24,61.110001,65.879997,59.610001,61.180000,56.313061,9887200
2020-03-25,60.759998,62.220001,59.009998,59.889999,55.125679,10375500
2020-03-26,60.360001,64.339996,60.189999,63.820000,58.743046,9053300
2020-03-27,64.029999,66.629997,63.360001,65.260002,60.068485,6366500
2020-03-30,65.989998,66.930000,64.970001,66.580002,61.283485,4950500
2020-03-31,66.010002,66.489998,64.959999,66.360001,61.080971,5784400
2020-04-01,64.750000,65.849998,64.089996,65.550003,60.335423,4247700
2020-04-02,64.779999,68.690002,64.709999,68.169998,62.746983,5676700
2020-04-03,67.949997,68.690002,66.750000,67.620003,62.240749,4720800
2020-04-06,69.599998,71.730003,69.129997,70.500000,64.891640,5172800
2020-04-07,70.279999,71.790001,68.830002,69.040001,63.547771,5964900
2020-04-08,69.639999,70.750000,68.849998,70.220001,64.633919,4265600
2020-04-09,70.660004,71.470001,69.760002,69.910004,64.348579,3582500
2020-04-13,69.629997,70.209999,69.209999,69.489998,63.961979,3335000
2020-04-14,71.330002,73.889999,70.610001,73.110001,67.293991,4940600
2020-04-15,72.199997,72.940002,71.690002,72.650002,66.870598,3390500
2020-04-16,72.900002,73.279999,71.739998,72.839996,67.045479,3561800
2020-04-17,72.709999,73.699997,71.529999,73.419998,67.990051,3762400
2020-04-20,72.930000,73.309998,72.129997,72.160004,66.823242,3187400
2020-04-21,71.500000,71.750000,70.250000,70.610001,65.387871,3142800
2020-04-22,71.199997,71.730003,70.559998,71.209999,65.943489,3498100
2020-04-23,71.050003,71.599998,70.699997,71.230003,65.962006,4041800
2020-04-24,70.750000,71.910004,70.599998,71.400002,66.119431,3549700
2020-04-27,71.919998,71.949997,70.889999,71.029999,65.776802,2926700
2020-04-28,71.940002,71.940002,70.440002,71.110001,65.850883,2995700
2020-04-29,70.540001,70.839996,68.839996,70.160004,64.971153,4675700
